Protocol,Chain,Date,Transaction Hash
AES,bsc,07-Dec-22,0xca4d0d24aa448329b7d4eb81be653224a59e7b081fc7a1c9aad59c5a38d0ae19
APC,bsc,01-Dec-22,0xf2d4559aeb945fb8e4304da5320ce6a2a96415aa70286715c9fcaf5dbd9d7ed2
APEDAO,bsc,18-Jul-23,0x8d35dfd9968ce61fb969ffe8dcc29eeeae864e466d2cb0b7d26ce63644691994
ApeRocket,bsc,14-Jul-21,0x701a308fba23f9b328d2cdb6c7b245f6c3063a510e0d5bc21d2477c9084f93e0
ARK,bsc,23-Mar-24,0xe8b0131fa14d0a96327f6b5690159ffa7650d66376db87366ba78d91f17cd677
ArrayFinance,ethereum,18-Jul-21,0xa17bbc7c9ab17aa88fdb5de83b41de982845e9c9c072efff6709dd29febf0daa
ATK,bsc,12-Oct-22,0x601b8ab0c1d51e71796a0df5453ca671ae23de3d5ec9ffd87b9c378504f99c32
AutoSharkFinance_1,bsc,29-Oct-21,0x8769f7ee2c8e010fc8791bd0e42569b7ced9b2f67b721e6f0c6a6435b4d6670f
AutoSharkFinance_2,bsc,24-May-21,0xfbe65ad3eed6b28d59bf6043debf1166d3420d214020ef54f12d2e0583a66f13
BabyDoge,bsc,28-May-23,0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375
Bamboo,bsc,04-Jul-23,0x88a6c2c3ce86d4e0b1356861b749175884293f4302dbfdbfb16a5e373ab58a10
BBOX,bsc,16-Nov-22,0xac57c78881a7c00dfbac0563e21b5ae3a8e3f9d1b07198a27313722a166cc0a3
BDEX,bsc,30-Oct-22,0xe7b7c974e51d8bca3617f927f86bf907a25991fe654f457991cbf656b190fe94
bDollar,bsc,21-May-22,0x9b16b1b3bf587db1257c06bebd810b4ae364aab42510d0d2eb560c2565bbe7b4
BEARNDAO,bsc,05-Dec-23,0x51913be3f31d5ddbfc77da789e5f9653ed6b219a52772309802226445a1edd5f
BeltFinance_1,bsc,29-May-21,0x50b0c05dd326022cae774623e5db17d8edbc41b4f064a3bcae105f69492ceadc
BeltFinance_2,bsc,29-May-21,0xf598e092ab82ce08798f9dab7ea6ade64f152aa91db897f3449b23ab591baa1d
